product_code,name,supplier_display,location,threshold,lead_time_days
5055331304513,BOND Ready-to-Use Primary Antibody CD8 (4B11),Leica,,0,2
5055331304506,BOND Ready-to-Use Primary Antibody CD56 (CD564),Leica,,0,2
5055331325945,BOND Ready-to-Use Primary Antibody Oct-3/4 (N1NK),Leica,,0,2
5055331304483,BOND Ready-to-Use Primary Antibody Bcl-6 (LN22),Leica,Central,5,2
5055331326492,BOND Ready-to-Use Primary Antibody Alpha-Methylacyl-CoA Racemase (EPMU1),Leica,,0,2
5055331304476,BOND Ready-to-Use Primary Antibody CD34 (QBEnd/10),Leica,,0,2
5055331331229,BOND Ready-to-Use Primary Antibody PD-1 (CAL20),Leica,,0,2
5055331304469,BOND Ready-to-Use Primary Antibody DOG-1 (K9),Leica,,0,2
5055331304452,BOND Ready-to-Use Primary Antibody Myf-4 (Rhabdomyosarcoma Marker) (LO26),Leica,,0,2
5055331318053,BOND Ready-to-Use Primary Antibody Ki67 (K2),Leica,,0,2
5055331304445,BOND Ready-to-Use Primary Antibody Melan A (A103),Leica,,0,2
5055331304438,BOND Ready-to-Use Primary Antibody CD1a (MTB1),Leica,,0,2
5055331317902,BOND Ready-to-Use Primary Antibody Galectin-3 (9C4),Leica,,0,2
5055331304421,BOND Ready-to-Use Primary Antibody CD22 (FPC1),Leica,,0,2
